Champions,HP,HP+,HP5,HP5+,MP,MP+,MP5,MP5+,AD,AD+,AS,AS+,AR,AR+,MR,MR+,MS,Range
 Leona,576,+87,8.5,+0.85,302,+40,6,+0.8,60,+3,0.625,+2.9%,47,+3.6,32,+1.25,335,125
 Lillia,580,+90,2.5,+0.55,410,+50,11.5,+0.95,61,+3.1,0.625,+2.7%,22,+4,32,+0.75,330,325
 Lissandra,550,+90,7,+0.55,475,+30,8,+0.4,55,+2.7,0.656,+1.36%,22,+3.7,30,+0.5,325,550
 Lucian,571,+86,3.75,+0.65,348.88,+38,8.18,+0.7,62,+2.3,0.638,+3.3%,28,+3,30,+0.5,335,500
 Lulu,525,+74,6,+0.6,350,+55,11,+0.6,47,+2.6,0.625,+2.25%,29,+3.7,30,+0.5,330,550
 Lux,490,+85,5.5,+0.55,480,+23.5,8,+0.8,54,+3.3,0.669,+2%,19,+4,30,+0.5,330,550
 Malphite,574,+90,7,+0.55,280,+60,7.32,+0.55,62,+4,0.736,+3.4%,37,+3.75,28,+1.25,335,125
 Malzahar,510,+87,6,+0.6,375,+27.5,8,+0.8,55,+3,0.625,+1.5%,18,+3.5,30,+0.5,335,500
 Maokai,565,+95,5,+0.75,375,+43,7.2,+0.6,64,+3.3,0.8,+2.125%,39,+4,32,+1.25,335,125
 Master Yi,599,+92,7.5,+0.65,251,+42,7.26,+0.45,66,+3,0.679,+2%,33,+3,32,+1.25,355,125
 Mega Gnar,610,+108,4.5,+1.75,100,+0,0,+0,65,+5.5,0.625,+0.5%,35.5,+5.5,33.5,+4,335,175
 Miss Fortune,570,+93,3.75,+0.65,300,+35,8.04,+0.65,52,+2.7,0.656,+3%,28,+3,30,+0.5,325,550
 Mordekaiser,575,+90,5,+0.75,0,+0,0,+0,61,+4,0.625,+1%,37,+3,32,+1.25,335,175
 Morgana,560,+90,5.5,+0.4,340,+60,11,+0.4,56,+3.5,0.625,+1.53%,25,+3.8,30,+0.5,335,450
 Nami,490,+74,5.5,+0.55,365,+43,11.5,+0.4,51,+3.1,0.644,+2.61%,29,+4,30,+0.5,335,550
 Nasus,561,+90,9,+0.9,326,+62,7.44,+0.5,67,+3.5,0.638,+3.48%,34,+3.5,32,+1.25,350,125
 Nautilus,576,+86,8.5,+0.55,400,+47,8.63,+0.5,61,+3.3,0.706,+1%,39,+3.75,32,+1.25,325,175
 Neeko,540,+90,7.5,+0.75,450,+30,7,+0.7,48,+2.5,0.625,+3.5%,21,+4,30,+0.5,340,550
 Nidalee,570,+95,6,+0.6,295,+45,6,+0.8,58,+3.5,0.638,+3.22%,28,+3.5,30,+0.5,335,525
 Nocturne,585,+95,7,+0.75,275,+35,7,+0.45,62,+3.1,0.721,+2.7%,38,+3.5,32,+0.75,345,125
 Nunu & Willump,540,+82,5,+0.8,280,+42,7,+0.5,61,+3,0.625,+2.25%,29,+3,32,+1.25,345,125
 Olaf,575,+100,8.5,+0.9,316,+42,7.5,+0.6,68,+3.5,0.694,+2.7%,35,+3,32,+1.25,350,125
 Orianna,530,+91,7,+0.55,418,+25,8,+0.8,40,+2.6,0.658,+3.5%,17,+3,26,+0.5,325,525
 Ornn,590,+95,9,+0.9,340.6,+65,8.01,+0.6,69,+3.5,0.625,+2%,33,+4,32,+1.25,335,175
 Pantheon,580,+95,9,+0.65,317.12,+31,7.36,+0.45,64,+3.3,0.644,+2.95%,40,+3.75,28,+1.25,345,175
 Poppy,540,+90,8,+0.8,280,+40,7,+0.7,64,+4,0.625,+2.5%,38,+3.5,32,+1.25,345,125
 Pyke,600,+90,7,+0.5,415,+50,8,+1,62,+2,0.667,+2.5%,45,+3.5,32,+1.25,330,150
 Qiyana,520,+110,6,+0.9,320,+50,8,+0.7,66,+3.1,0.688,+2.1%,28,+3.5,32,+1.25,335,150
 Quinn,533,+85,5.5,+0.55,269,+35,6.97,+0.4,59,+2.4,0.668,+3.1%,28,+3.5,30,+0.5,335,525
 Rakan,540,+85,5,+0.5,315,+50,8.75,+0.5,62,+3.5,0.635,+3%,32,+3.9,32,+1.25,335,300
 Rammus,564,+80,8,+0.55,310,+33,7.84,+0.5,56,+3.5,0.656,+2.215%,36,+4.3,32,+1.25,335,125
 Rek'Sai,570,+85,7.5,+0.65,100,+0,0,+0,64,+3,0.667,+2%,36,+3.75,32,+1.25,335,175
 Rell,540,+90,7,+0.55,350,+45,6,+0.35,55,+3,0.55,+2%,32,+3,32.1,+1.25,335,175
 Renekton,590,+92,8,+0.75,100,+0,0,+0,69,+3.75,0.665,+2.75%,35,+4,32,+1.25,345,125
 Rengar,585,+90,7,+0.5,4,+0,0,+0,68,+3,0.667,+3%,34,+3,32,+1.25,345,125
 Riven,560,+86,8.5,+0.5,0,+0,0,+0,64,+3,0.625,+3.5%,33,+3.2,32,+1.25,340,125
 Rumble,589,+85,8,+0.6,100,+0,0,+0,61,+3.2,0.644,+1.85%,31,+3.5,28,+0.75,345,125
 Ryze,575,+110,8,+0.8,300,+70,8,+1,58,+3,0.625,+2.112%,22,+3,36,+0.5,340,550
 Samira,530,+88,3.25,+0.55,348.88,+38,8.18,+0.7,57,+3,0.658,+3.3%,26,+3,30,+0.5,335,500
 Sejuani,560,+100,8.5,+1,400,+40,7,+0.7,66,+4,0.688,+3.5%,34,+4.25,32,+1.25,340,150
 Senna,520,+75,3.5,+0.55,350,+45,11.5,+0.4,50,+0,0.625,+4%,28,+3.5,30,+0.5,330,600
 Seraphine,500,+90,6.5,+0.6,440,+40,8,+1,55,+3,0.669,+1%,19,+3,30,+0.5,325,525
 Sett,600,+93,7,+0.5,0,+0,0,+0,60,+4,0.625,+1.75%,33,+4,32,+1.25,340,125
 Shaco,560,+89,8.5,+0.55,297,+40,7.16,+0.45,63,+3,0.694,+3%,30,+3.5,32,+1.25,345,125
 Shen,540,+85,8.5,+0.75,400,+0,50,+0,60,+3,0.751,+3%,34,+3,32,+1.25,340,125
 Shyvana,595,+95,8.5,+0.8,100,+0,0,+0,66,+3.4,0.658,+2.5%,38,+3.35,32,+1.25,350,125
 Singed,580,+85,9.5,+0.55,330,+45,7.5,+0.55,63,+3.38,0.613,+1.9%,34,+3.5,32,+1.25,345,125
 Sion,545,+73,7.5,+0.8,330,+42,8,+0.6,68,+4,0.679,+1.3%,32,+3,32,+1.25,345,175
 Sivir,562,+90,3.25,+0.55,325,+50,8,+0.9,63,+3,0.625,+1.6%,26,+3.25,30,+0.5,335,500
 Skarner,580,+85,9,+0.85,320,+60,7.2,+0.45,65,+4.5,0.625,+2.1%,38,+3.8,32,+1.25,335,125
 Sona,480,+77,5.5,+0.55,340,+45,11.5,+0.4,49,+3,0.644,+2.3%,26,+3,30,+0.5,325,550
 Soraka,535,+74,2.5,+0.5,425,+40,11.5,+0.4,50,+3,0.625,+2.14%,32,+3.8,30,+0.5,325,550
 Swain,525,+85,7,+0.65,468,+28.5,8,+0.8,58,+2.7,0.625,+2.11%,23,+4,30,+0.5,325,525
 Sylas,525,+115,9,+0.9,310,+70,8,+0.8,61,+3,0.645,+3.5%,27,+4,32,+1.75,340,175
 Syndra,523,+90,6.5,+0.6,480,+40,8,+0.8,54,+2.9,0.625,+2%,25,+3.4,30,+0.5,330,550
 Tahm Kench,570,+95,6.5,+0.55,325,+50,8,+1,56,+3.2,0.658,+2.5%,42,+3.5,32,+1.25,335,175
 Taliyah,532,+90,7,+0.7,425,+30,9.34,+0.85,58,+3.3,0.625,+1.36%,20,+3.5,30,+0.5,335,525
 Talon,588,+95,8.5,+0.75,377.2,+37,7.6,+0.8,68,+3.1,0.625,+2.9%,30,+3.5,39,+1.25,335,125
 Taric,575,+85,6,+0.5,300,+60,8.5,+0.8,55,+3.5,0.625,+2%,40,+3.4,32,+1.25,340,150
 Teemo,528,+90,5.5,+0.65,334,+20,9.6,+0.45,54,+3,0.69,+3.38%,24,+3.75,30,+0.5,330,500
 Thresh,530,+95,7,+0.55,274,+44,6,+0.8,56,+2.2,0.625,+3.5%,28,+0,30,+0.5,330,450
 Tristana,600,+88,4,+0.65,250,+32,7.2,+0.45,59,+3.3,0.656,+1.5%,26,+3,30,+0.5,325,525
 Trundle,616,+96,6,+0.75,281,+45,7.5,+0.6,68,+3,0.67,+2.9%,37,+2.7,32,+1.25,350,175
 Tryndamere,626,+98,8.5,+0.9,100,+0,0,+0,72,+3.7,0.67,+2.9%,33,+3.1,32,+1.25,345,125
 Twisted Fate,534,+94,5.5,+0.6,333,+39,8,+0.8,52,+3.3,0.651,+3.22%,21,+3.15,30,+0.5,330,525
 Twitch,612,+86,3.75,+0.6,287.2,+40,7.26,+0.45,59,+3.11,0.679,+3.38%,27,+3,30,+0.5,330,550
 Udyr,594,+92,6,+0.75,271,+50,7.5,+0.45,64,+5,0.658,+2.67%,34,+4,32,+1.25,350,125
 Urgot,585,+88,7.5,+0.7,340,+45,7.25,+0.8,63,+4,0.625,+3.75%,36,+4.25,32,+1.25,330,350
 Varus,530,+91,3.5,+0.55,360,+40,8,+0.8,59,+3.4,0.658,+4%,27,+3.4,30,+0.5,330,575
 Vayne,515,+89,3.5,+0.55,231.8,+35,6.97,+0.4,60,+2.36,0.658,+3.3%,23,+3.4,30,+0.5,330,550
 Veigar,505,+94,6.5,+0.6,490,+26,8,+0.8,52,+2.7,0.625,+2.24%,23,+3.75,32,+0.5,340,550
 Vel'Koz,520,+88,5.5,+0.55,469,+21,8,+0.8,55,+3.1415927,0.625,+1.36%,22,+3.5,30,+0.5,340,525
 Vex,520,+90,6.5,+0.6,490,+32,6,+0.8,54,+2.75,0.669,+1%,23,+3.25,28,+0.5,335,550
 Vi,585,+85,10,+1,295,+65,8,+0.65,63,+3,0.644,+2%,30,+3.5,32,+1.25,340,125
 Viego,560,+95,7,+0.7,0,+0,0,+0,57,+3.5,0.658,+2.5%,34,+4,32,+1.25,345,200
 Viktor,530,+90,8,+0.65,405,+45,8,+0.8,53,+3,0.658,+2.11%,23,+4,30,+0.5,335,525
 Vladimir,537,+96,7,+0.6,2,+0,0,+0,55,+3,0.658,+2%,23,+3.3,30,+0.5,330,450
 Volibear,580,+90,9,+0.75,350,+70,6.25,+0.5,60,+3.5,0.625,+2%,31,+4,32,+1.25,340,150
 Warwick,550,+85,4,+0.75,280,+35,7.47,+0.58,65,+3,0.638,+2.3%,33,+3.2,32,+1.25,335,125
 Wukong,540,+85,2.5,+0.65,300,+65,8,+0.65,68,+3.5,0.711,+3%,31,+3.5,28,+1.25,345,175
 Xayah,590,+88,3.25,+0.75,340,+40,8.25,+0.75,60,+3.5,0.625,+3.9%,25,+3,30,+0.5,330,525
 Xerath,526,+92,5.5,+0.55,459,+22,8,+0.8,55,+3,0.625,+1.36%,22,+3.5,30,+0.5,340,525
 Xin Zhao,570,+92,8,+0.7,274,+55,7.26,+0.45,63,+3,0.645,+3.5%,35,+3.5,32,+1.25,345,175
 Yasuo,490,+87,6.5,+0.9,100,+0,0,+0,60,+3,0.697,+3.5%,30,+3.4,32,+1.25,345,175
 Yone,550,+85,7.5,+0.75,500,+0,0,+0,60,+2,0.625,+3.5%,28,+3.4,32,+1.25,345,175
 Yorick,580,+100,8,+0.8,300,+60,7.5,+0.75,62,+5,0.625,+2%,39,+4,32,+1.25,340,175
 Yuumi,480,+70,7,+0.55,400,+45,10,+0.4,55,+3.1,0.625,+1%,25,+3,25,+0.3,330,500
 Zac,615,+95,8,+0.5,0,+0,0,+0,60,+3.4,0.736,+1.6%,33,+3.5,32,+1.25,340,175
 Zed,584,+85,7,+0.65,200,+0,50,+0,63,+3.4,0.651,+3.3%,32,+3.5,32,+1.25,345,125
 Zeri,500,+85,3.25,+0.55,250,+45,6,+0.8,58,+2,0.658,+2%,23,+3.5,30,+0.5,325,500
 Ziggs,536,+92,6.5,+0.6,480,+23.5,8,+0.8,54,+3.1,0.656,+2%,22,+3.3,30,+0.5,325,550
 Zilean,504,+82,5.5,+0.5,452,+50,11.34,+0.8,52,+3,0.625,+2.13%,24,+3.8,30,+0.5,335,550
 Zoe,560,+92,6.5,+0.6,425,+25,8,+0.65,58,+3.3,0.625,+2.5%,21,+3.5,30,+0.5,340,550
 Zyra,504,+79,5.5,+0.5,418,+25,13,+0.4,53,+3.2,0.625,+2.11%,29,+3,30,+0.5,340,575
